timestamp,initial_mode,outcomes,best_strategy,strategy_parameters,profit,win_rate,number_of_bets
20250224_101019,PPP,PBPBBBBBBPPPPBBBBBBPPBPBTPPBPTPPBBTPBBPPPBPBPBPBPBPPPPPBPBBPPP,conservative_pattern,"min_confidence=0.65, pattern_length=4, window_size=10, lookback_depth=3",5.95,1.0,6
20250224_103431,BBB,PPBPBPPBPPBPPTBBBBPPBPBPPPBPBPTPPBBTPPPTBPBBBBP,streak_reversal_safe_exit,"streak_threshold=3, exit_loss_threshold=2, recovery_period=4, banker_bias=0.51, window_size=20",5.9,1.0,6
20250224_105717,PPP,BBBBPBBBBPPPPBPPBTBBPTPPBTPBPPTBBBBBPB,streak_reversal_safe_exit,"streak_threshold=2, exit_loss_threshold=2, recovery_period=3, banker_bias=0.51, window_size=15",5.6000000000000005,0.6363636363636364,26
20250224_110619,BBB,PPPPPBBPPBTPPBPPPPPPPPBPP,original,default,6.0,0.75,13
20250224_112406,BBB,BPBPTPPTBTTBBBPPPBBBPBPPBPTBPPPPTPBPBBBBPB,loss_aversion,"base_confidence=0.55, recovery_threshold=2, window_size=15, short_window=5",5.6000000000000005,0.7142857142857143,17
20250224_114145,BBB,PPPBBPBPBPPPPBPPPTPTBBBPPPBBPPPBBPBPBBBBBBBBPB,original,default,6.0,0.75,13
20250224_121625,PPP,BBBPPBBPPPBBBPBBTBPPBBBBPTPBPBBPPBPPTPBPBPPPBPPBBPPTPBBBBBPBPBPPPBPB,loss_aversion,"base_confidence=0.55, recovery_threshold=2, window_size=15, short_window=5",5.8500000000000005,1.0,6
20250224_142929,BBB,PPBPPPPBBPPPBBPBPPBTBPPPPBPPBBBBTPBBBBBBBTBPTPPPPBBBPPBBPPPB,streak_reversal_safe_exit,"streak_threshold=3, exit_loss_threshold=2, recovery_period=4, banker_bias=0.51, window_size=20",5.9,1.0,6
20250224_145301,BBB,BPPPPPPPTBBBBPTTTBBPBPBPBPBPTPPTBPTPBBBPPBBPPBBBBTB,adaptive_bias,"window_size=15, weight_recent=2.3",5.6,0.7142857142857143,18
20250224_153139,BBB,PTPPPBPBPBPPBPBTBBPPPBPBPTBTPPBBBPTPPPPBBPBTPBPBPPPBPBPBBPBBBBBPBPPTBBP,conservative_pattern,"min_confidence=0.7, pattern_length=4, window_size=12, lookback_depth=3",4.550000000000001,0.6,27
20250224_155441,BBB,BBPPPPBPBTPPPTTBPPBBPPBTPPBBTBPBPTPBPBPPBPBBBBPBBBPBP,confidence_threshold_escalator,"base_threshold=0.5, escalation_factor=0.08, max_threshold=0.85, de_escalation_factor=0.01, pattern_length=5, window_sizes=[8, 16, 32]",5.9,0.8,13
20250224_161341,PPP,BTBPBBBPTPBPBPBBBBPPBPBBBBBPBTBPPPPBBPPP,loss_aversion,"base_confidence=0.65, recovery_threshold=3, window_size=20, short_window=5",5.7,0.75,13
20250224_162917,BBB,BPPPBPPBBBPPBPBPBPBPBBBBPBBBPPPBBBBBBPBP,adaptive_bias,"window_size=10, weight_recent=3.3",5.7,0.7142857142857143,14
20250224_165140,BBB,PPPBPBPPBBBPBPTBBPPPTBPBBPPBPBBTBPPPTBPBBPBPPBPPPBPPP,conservative_pattern,"min_confidence=0.7, pattern_length=4, window_size=12, lookback_depth=3",5.8,0.75,12
20250224_171009,PPP,PBBBBPPPPPBBBBBBBPTBPTTTPBBPBPBBBBTPBPPBBPPBPTB,adaptive_bias,"window_size=15, weight_recent=2.3",5.250000000000001,0.625,28
20250224_174439,PPP,PBPBBBPBPBBPTBBBPTBBPBPTBPPPBBPPPBBBTPPBBPPPBPBPBPBBPPBPPBBBPPBPPBBP,dynamic_skip,"base_confidence=0.6, risk_threshold=0.4, window_size=15, short_window=5, recovery_factor=0.05",5.7,0.875,9
