timestamp,duration,initial_mode,end_line_reason,bias,first_6_outcomes,profit,all_outcomes_first_shoe,all_outcomes_second_shoe
20250327_221631,21,PPP,"decent profit with many bad streaks (150+, 3 streaks)",,BBBPBP,203.0,BBBPBPPPPBBPPTPPPTBBPBTPPTBTPBPBPBBPTBBPPBPTPPPBPBPB,
20250327_224415,27,PPP,few cubes with bad streaks (2+ streaks),,BPBPBB,130.0,BPTBPBBBPBPBPBPBPPBBPBPPBBPPPBPBBPBBPPPBBBBPBPBBBBBTPBPTBB,
20250327_225459,10,PPP,"only 1 cube value left, higher than 100 and in profit",B,BPBBBB,409.0,BPBBBBTPPBBBPTBBBBBBPPBPBTBTBPBB,
20250327_231542,18,BBB,"only 1 cube value left, higher than 100 and in profit",,PBBPPP,422.0,TPBBPPPBPBBBBPPBBPBPBPTBPPPBBPTPBBPPPPPP,
20250327_233013,14,BBB,"only 1 cube value left, higher than 100 and in profit",,BPPPPP,440.0,BPPPTPPPPBPBPPPBBPBBTPPPPBPBPPPBBPPBPBPP,
20250328_000047,29,PPP,Shoe finished,,BBBPPB,-1217.5,BBBPPBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBPBPTPPBTTPBPPTPPPBBPBTBPPBPBBBBBPBBTTPBPBPTBPPBPPPBPPTPTPPBBBBPPP,
20250328_002337,22,PPP,"only 1 cube value left, higher than 100 and in profit",,BBBBPB,360.5,TBBBBPBTBBPTBPBPPPPBPPTBPBBPBTPBBBPPTTTBPPBTBPBPBTPPBB,
20250328_003740,12,PPP,"only 1 cube value left, higher than 100 and in profit",,BPBBBP,390.5,BPBBBPPTTBPBPPTBBBBBTBPBPBPBTPBBBPBB,
20250328_010746,21,PPP,"only 1 cube value left, lower than 20",,PBBBBB,329.5,PBBBTBBPBPBTPPTBBPPBPBPPBPBPBTPPTPBBPTBBBBPBPBBBBBPBPB,
20250328_012517,17,BBB,"decent profit with many bad streaks (150+, 3 streaks)",,BBPPPP,151.0,BBPPPPTPPPBBPBBTPBPPBBBPBBBTBPPBBBBPBBBBBTBP,
20250328_014759,22,BBB,"decent profit with many bad streaks (150+, 3 streaks)",,BPPPPB,231.5,BPPPPBPBBBPPTTBBBTBPPBBPPBPBBPPTTBBPPBBBBBPBBPPBPBPBPTPBBBBPB,
20250328_021232,22,PPP,few cubes with bad streaks (2+ streaks),,PBBBBB,25.0,PBBBBBPPBBPPBBTBPBBBPPBPPPBBPPBPPBTPPPPPBBPBBPPPPPPPTPPB,
20250328_022716,13,PPP,"only 1 cube value left, higher than 100 and in profit",,BBPBPB,392.5,BBPBTPBPPBPBPPBPPBBPBBBPBPPBBBBBBB,
20250328_023904,7,BBB,"only 1 cube value left, higher than 100 and in profit",,PBPPPB,420.0,PBPPPTBPBPTPPPTPPPPPPPP,
20250328_025920,17,PPP,few cubes with bad streaks (2+ streaks),,BPBBPB,294.0,BPBBPBBBPPBPPPBTPBBBPBBPPPBTBPPBBBBPBBPBBBPBB,
20250328_032120,13,BBB,"only 1 cube value left, higher than 100 and in profit",,PPPPPB,430.0,PPPPPBPBBPPPBBPPPBBPBPPPBTPPPBPBTPBPP,
20250328_035532,32,PPP,"only 1 cube value left, higher than 100 and in profit",,PBBBBB,135.5,PBBBBBBPBBBBBBPPPPPBBBPBPPBPPPBBBTPBPPPBBBPPPPPBPPBTBBPPTPPBPPPTPPPPPB,
20250328_042245,26,BBB,Shoe finished,,PPPPBP,-595.0,PPPPBPBBBPPPPBBPTBPBBBPPBBBPPBPPBBPPBBBPBBTPBBBTBBPBBTPPPBPTPBBPB,
20250328_043723,10,PPP,"only 1 cube value left, lower than 20",,PBBBBB,367.0,PBBBBBPBBPBBBPTBTBBPTBPTPBBPBBBB,
20250328_045336,15,PPP,"only 1 cube value left, higher than 100 and in profit",,PBBBPB,391.5,PBBBTPBBPPBPBPPBPTBBBBPPPPBBPBPBBBPPBBTBBBB,
20250328_052349,25,PPP,few cubes with bad streaks (2+ streaks),,BPBPBB,36.0,BPBPBBBPBTBBBPBPPPBPBPPBPPPBPPBBPPBBPBPBBPBBPPTBPPPPTPPPPPBBBP,
20250328_053924,14,BBB,"only 1 cube value left, higher than 100 and in profit",,PPPBBP,437.0,PPPBBPBPBPTBPPBPTBPBPPPBPBPPBBBBBBPBP,
20250329_212849,27,PPP,Shoe finished,,BBPBPB,-1793.0,BBPTBPBPBPBBTPBBPPBPPPTPBBBBPBPPPBPBTPPPBPPBPBPBBBBPBPPTPBBPPTPBPPBTPBPP,
20250329_214512,14,BBB,few cubes with bad streaks (2+ streaks),,PPPBPB,341.5,PPPBPBPBPBPPPBBPPPPPTBPBBBBPPBBBBBPPBP,
20250329_215840,12,BBB,"only 1 cube value left, higher than 100 and in profit",,PPPBPP,427.5,PPPBPTPBBBBPPPPPPPPBBPPBPPPPBPTPBBPP,
20250329_221422,15,PPP,"only 1 cube value left, higher than 100 and in profit",,BBPBPB,375.5,BBPBPBPBPBPBBPBBBPBPBBBPPBPBBPPBBBPPPPBP,
20250329_222048,5,BBB,"contradicting bias (BBB mode, 83.3% banker wins)",,PPPBPB,166.0,PPPBPBTBTBBBBBBBBPBP,
